"PD_id","price","rating"
845,"11290000","4"
847,"10690000","4"
848,"9190000","4"
857,"6840000","4"
859,"7490000","4"
863,"6840000","4"
872,"10040000","0"
883,"9240000","4"
884,"10440000","4"
885,"15240000","4"
889,"6840000","4"
890,"9820000","4"
891,"11290000","5"
897,"10490000","0"
898,"6490000","4"
900,"26490000","4"
906,"12090000","4"
910,"11310000","4"
911,"7840000","4"
917,"7490000","0"
921,"5990000","3"
925,"23090000","0"
926,"6990000","4"
928,"46290000","0"
929,"46290000","0"
930,"17640000","0"
959,"34990000","0"
966,"11990000","4"
967,"12990000","4"
984,"41490000","0"
849,"8790000","3"
852,"11890000","0"
855,"10740000","4"
856,"6840000","4"
858,"9790000","5"
862,"7590000","4"
870,"15690000","4"
877,"19990000","4"
879,"8490000","4"
882,"11690000","0"
894,"16590000","0"
903,"15290000","4"
905,"15590000","4"
908,"13790000","4"
915,"15440000","4"
918,"28390000","4"
936,"9940000","4"
938,"13590000","3"
944,"17490000","5"
945,"18690000","4"
946,"50990000","0"
947,"50990000","0"
952,"30700000","0"
971,"14090000","0"
974,"19890000","0"
975,"28590000","0"
979,"16990000","4"
853,"13290000","4"
854,"14290000","0"
867,"17390000","4"
871,"8240000","4"
875,"14940000","0"
881,"21190000","0"
886,"16790000","5"
887,"7490000","4"
892,"13590000","5"
893,"6840000","4"
895,"12240000","3"
896,"7940000","4"
901,"18420000","0"
907,"16390000","4"
909,"13890000","4"
912,"10740000","4"
914,"24290000","4"
916,"14240000","0"
920,"9790000","4"
922,"19790000","0"
923,"15690000","4"
935,"41590000","0"
941,"12740000","4"
943,"12990000","4"
950,"52290000","0"
953,"35100000","0"
956,"21090000","4"
958,"39490000","0"
964,"38490000","0"
965,"52290000","0"
969,"17490000","0"
970,"11090000","0"
976,"9990000","4"
977,"32090000","0"
980,"15190000","0"
983,"41490000","0"
846,"11690000","0"
850,"14190000","4"
851,"13990000","4"
860,"10990000","4"
861,"11810000","5"
864,"7240000","4"
865,"7340000","4"
866,"11390000","4"
868,"8740000","3"
869,"8290000","4"
873,"13690000","4"
874,"12690000","4"
876,"12740000","4"
878,"14590000","4"
880,"13690000","5"
888,"13390000","4"
899,"8690000","4"
902,"12490000","3"
